stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
2360,64.0,MA多頭 | MACD↑ | RSI=55,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.02↓低 | 使用率1%↓,70.0,券資比0.02↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",60.8,強力候選,2180.0,📰 正面 致茂營收／8月56.32億元創新高 輝達…
3034,62.0,MA多頭 | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.04↓低 | 使用率2%↓,70.0,券資比0.04↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",60.2,強力候選,545.0,📰 正面 【2026/08月營收公告】聯詠(303…
2303,60.0,MA多頭 | MACD↑ | RSI=69,45.0,持續配息 | 營收動能,50.0,無重大訊息,72.8,外資買超 | 投信連買5日 | 券資比0.03↓低 | 融資+10.1% | 使用率6%↓,80.0,券資比0.03↓低 | 融資+10.1% | 使用率6%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",60.0,強力候選,142.5,
6505,60.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.04↓低 | 使用率1%↓,70.0,券資比0.04↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",58.6,強力候選,86.2,📰 正面 台塑化(6505) | 8月營收優於預期…
2002,54.0,MA多頭 | RSI=41,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.00↓低 | 使用率1%↓,70.0,券資比0.00↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",58.0,強力候選,19.1,📰 正面 中鋼(2002)營收與獲利仍承壓，成本回…
2317,60.0,MA多頭 | MACD↑ | RSI=56,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",56.6,強力候選,251.0,📰 正面 8月營收雙雙報喜！鴻海目標價喊327元、…
2207,60.0,MA多頭 | MACD↑ | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.8,外資買超 | 投信連買5日 | 券資比0.00↓低 | 融資-28.3%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-28.3%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",56.5,強力候選,528.0,
2886,60.0,MA多頭 | MACD↑ | RSI=68,29.0,持續配息,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.03↓低 | 使用率0%↓,70.0,券資比0.03↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",56.4,強力候選,49.9,
3711,60.0,MA多頭 | MACD↑ | 突破20日高 | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,59.8,外資連買4日 | 投信賣超 | 券資比0.02↓低 | 融資-19.1%↓ | 使用率1%↓,55.0,券資比0.02↓低 | 融資-19.1%↓ | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",55.4,強力候選,650.0,📰 正面 AI先進封測需求旺！日月光投控砸105億…
2382,50.0,MA多頭 | MACD↑ | RSI=59,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",55.0,強力候選,336.0,📰 正面 【優分析即時新聞】廣達(2382)8月營…
1326,60.0,MA多頭 | MACD↑ | RSI=67,30.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.02↓低 | 融資-16.8%↓ | 使用率2%↓,55.0,券資比0.02↓低 | 融資-16.8%↓ | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",54.5,觀察股,71.3,
2330,60.0,MA多頭 | MACD↑ | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.00↓低 | 使用率0%↓,70.0,券資比0.00↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",54.4,觀察股,2450.0,"📰 正面 台積電營收／8月逾5,148億元再創新高…"
2327,64.0,MA多頭 | MACD↑ | RSI=53 | 突破布林中軌,30.0,營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.01↓低 | 使用率8%↓,70.0,券資比0.01↓低 | 使用率8%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",52.6,觀察股,572.0,📰 正面 買進國巨*（2327）來生再聚？杜金龍揭…
3017,23.0,MA多頭 | RSI=71,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.01↓低 | 使用率4%↓,70.0,券資比0.01↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",51.7,觀察股,3460.0,📰 正面 〈財經週報-台股熱點〉訂單能見度高 散熱…
2892,35.0,MA多頭 | MACD↑ | RSI=89,29.0,持續配息,50.0,無重大訊息,78.8,外資連買3日 | 投信買超 | 券資比0.01↓低 | 融資暴增+613.7%⚠️ | 使用率0%↓,65.0,券資比0.01↓低 | 融資暴增+613.7%⚠️ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",51.4,觀察股,38.0,
2353,60.0,MA多頭 | MACD↑ | RSI=55,37.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買5日 | 券資比0.03↓低 | 使用率5%↓,70.0,券資比0.03↓低 | 使用率5%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",51.1,觀察股,31.5,📰 ⚠️負面 2353 宏碁 - 兆基屋管風爆擴大！涉…
2891,60.0,MA多頭 | MACD↑ | RSI=60,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資賣超 | 投信連買5日 | 券資比0.01↓低 | 融資+8.0% | 使用率0%↓,80.0,券資比0.01↓低 | 融資+8.0% | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",51.1,觀察股,67.3,📰 正面 中信金法說1》加計股票處分獲利 前七月E…
1303,60.0,MA多頭 | MACD↑ | RSI=69 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,外資賣超 | 投信連買4日 | 券資比0.05↓低 | 融資-11.0%↓ | 使用率2%↓,55.0,券資比0.05↓低 | 融資-11.0%↓ | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",50.6,觀察股,244.0,📰 正面 南亞（1303）轉型電子材料！M8、M9…
2412,35.0,MA多頭 | MACD↑ | RSI=75,22.0,持續配息,50.0,無重大訊息,78.8,外資連買5日 | 投信買超 | 券資比0.01↓低 | 融資暴增+50.4%⚠️ | 使用率0%↓,65.0,券資比0.01↓低 | 融資暴增+50.4%⚠️ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",50.0,觀察股,139.5,📰 正面 中華電8月EPS創15年新高 拿下單月電…
1301,60.0,MA多頭 | MACD↑ | RSI=65,22.0,持續配息,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.06↓低 | 使用率1%↓,70.0,券資比0.06↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",49.8,觀察股,65.6,
2609,29.0,RSI=33,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.06↓低 | 融資-10.9%↓ | 使用率4%↓,55.0,券資比0.06↓低 | 融資-10.9%↓ | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",48.2,觀察股,58.0,📰 正面 【2026/08月營收公告】陽明(260…
2408,49.0,MA多頭 | RSI=47,30.0,營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.03↓低 | 使用率9%↓,70.0,券資比0.03↓低 | 使用率9%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",48.1,觀察股,515.0,
2454,35.0,MA多頭 | MACD↑ | RSI=78,30.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.01↓低 | 使用率3%↓,70.0,券資比0.01↓低 | 使用率3%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",48.1,觀察股,4720.0,📰 正面 聯發科營收／8月641億元創新高 月增3…
2357,40.0,MA多頭 | RSI=62,37.0,持續配息 | 營收動能,50.0,無重大訊息,59.0,外資賣超 | 投信買超 | 券資比0.02↓低 | 融資+13.4% | 使用率1%↓,80.0,券資比0.02↓低 | 融資+13.4% | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",47.6,觀察股,989.0,
2883,35.0,MA多頭 | MACD↑ | RSI=85 | KD黃金交叉,15.0,營收動能,50.0,無重大訊息,75.8,外資買超 | 投信買超 | 券資比0.02↓低 | 融資+15.2% | 使用率0%↓,80.0,券資比0.02↓低 | 融資+15.2% | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",47.5,觀察股,37.2,📰 正面 2883 凱基金- 凱基證營收暴增預估超…
2885,35.0,MA多頭 | MACD↑ | RSI=77,15.0,營收動能,50.0,無重大訊息,74.8,外資連買5日 | 投信買超 | 券資比0.01↓低 | 融資-23.8%↓ | 使用率0%↓,55.0,券資比0.01↓低 | 融資-23.8%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",47.2,觀察股,69.7,📰 正面 台股量能衝高 元大金8月獲利再創新高 -…
2354,40.0,MA多頭 | RSI=68,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.8,外資買超 | 投信賣超 | 券資比0.00↓低 | 融資-11.7%↓ | 使用率7%↓,55.0,券資比0.00↓低 | 融資-11.7%↓ | 使用率7%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",46.3,觀察股,65.0,📰 正面 股價不買單！「這檔機殼大廠」8月營收暴增…
5880,35.0,MA多頭 | MACD↑ | RSI=87,37.0,持續配息 | 營收動能,50.0,無重大訊息,59.8,外資連買5日 | 投信賣超 | 券資比0.02↓低 | 融資-22.9%↓ | 使用率0%↓,55.0,券資比0.02↓低 | 融資-22.9%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",46.3,觀察股,26.85,📰 正面 〈合庫金股東會〉總資產破5.38兆！EP…
2376,35.0,MA多頭 | RSI=58,45.0,持續配息 | 營收動能,50.0,無重大訊息,55.0,外資賣超 | 投信買超 | 券資比0.06↓低 | 使用率4%↓,70.0,券資比0.06↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",46.2,觀察股,351.5,📰 正面 【2026/08月營收公告】技嘉(237…
3045,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=81,22.0,持續配息,50.0,無重大訊息,64.8,外資連買5日 | 投信買超 | 券資比1.73↑高 | 融資-42.4%↓ | 使用率0%↓,30.0,券資比1.73↑高 | 融資-42.4%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",45.1,普通,120.0,
2337,39.0,MACD↑ | RSI=50,30.0,營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.02↓低 | 使用率17%↓,70.0,券資比0.02↓低 | 使用率17%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",45.1,普通,122.5,
2882,60.0,MA多頭 | MACD↑ | RSI=68,15.0,持續配息,50.0,無重大訊息,45.0,外資賣超 | 投信買超 | 券資比0.29↑高 | 使用率0%↓,45.0,券資比0.29↑高 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",44.2,普通,110.5,
4938,40.0,MA多頭 | RSI=57,30.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買5日 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",43.7,普通,91.0,
2379,15.0,RSI=45,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.00↓低 | 使用率2%↓,70.0,券資比0.00↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",43.1,普通,696.0,
2884,35.0,MA多頭 | MACD↑ | RSI=83,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日 | 券資比0.03↓低 | 融資暴增+39.7%⚠️ | 使用率0%↓,65.0,券資比0.03↓低 | 融資暴增+39.7%⚠️ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-83,918口 🔴 偏空｜VIX 16.9 低波動｜Fed 3.81%短率升",42.9,普通,44.95,
