stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
2105,74.0,MA多頭 | MACD↑ | RSI=42,22.0,持續配息,50.0,無重大訊息,80.0,外資連買5日 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,56.0,強力候選,
2395,64.0,MA多頭 | MACD↑ | RSI=55,37.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買4日,50.0,,,🌐 VIX 15.84 低波動,55.8,強力候選,
2885,62.0,MA多頭 | 突破20日高 | RSI=68,30.0,營收動能,50.0,無重大訊息,80.0,外資連買3日 | 投信連買4日,50.0,,,🌐 VIX 15.84 低波動,54.2,觀察股,
5880,48.0,MA多頭 | RSI=56 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 15.84 低波動,53.2,觀察股,
1590,60.0,MA多頭 | MACD↑ | RSI=62,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 15.84 低波動,52.0,觀察股,
3711,60.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,52.0,觀察股,
3017,45.0,MA多頭 | MACD↑ | RSI=53,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,51.6,觀察股,
6669,64.0,MA多頭 | MACD↑ | RSI=53,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,51.0,觀察股,
2609,59.0,MA多頭 | MACD↑ | RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 15.84 低波動,51.0,觀察股,
2354,44.0,MACD↑ | RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 15.84 低波動,50.6,觀察股,
2345,55.0,MA多頭 | MACD↑ | RSI=47,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,50.2,觀察股,
8046,60.0,MA多頭 | MACD↑ | RSI=59,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,49.6,觀察股,
6505,60.0,MA多頭 | MACD↑ | RSI=63,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 15.84 低波動,48.7,觀察股,
1326,64.0,MA多頭 | MACD↑ | RSI=65,30.0,持續配息 | 營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 15.84 低波動,48.3,觀察股,
1301,60.0,MA多頭 | MACD↑ | RSI=64,22.0,持續配息,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 15.84 低波動,46.3,觀察股,
2892,56.0,MA多頭 | RSI=62 | KD黃金交叉,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,46.1,觀察股,
1303,35.0,MA多頭 | MACD↑ | RSI=70,38.0,營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,46.0,觀察股,
2301,39.0,MA多頭 | RSI=53,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 15.84 低波動,45.8,觀察股,
2303,40.0,MA多頭 | RSI=58,38.0,營收動能,50.0,無重大訊息,62.0,外資連買3日 | 投信賣超,50.0,,,🌐 VIX 15.84 低波動,45.3,觀察股,
3034,40.0,MA多頭 | RSI=58,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 15.84 低波動,45.0,觀察股,
2884,37.0,RSI=44,30.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 15.84 低波動,44.8,觀察股,
2382,52.0,MA多頭 | RSI=58,30.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,44.7,觀察股,
2330,44.0,MA多頭 | RSI=54,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,44.0,觀察股,
2883,51.0,RSI=53 | KD黃金交叉 | 突破布林中軌,15.0,營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 15.84 低波動,42.2,觀察股,
2886,56.0,MA多頭 | RSI=65 | KD黃金交叉,15.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,41.6,觀察股,
3036,39.0,MACD↑ | RSI=45,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 15.84 低波動,41.4,觀察股,
2615,15.0,RSI=38,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,41.0,觀察股,
2379,40.0,MA多頭 | RSI=59,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.84 低波動,40.5,觀察股,
