stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
2357,83.0,MA多頭 | MACD↑ | RSI=58 | KD黃金交叉 | 突破布林中軌,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.43 低波動,60.0,強力候選,
2615,74.0,MA多頭 | MACD↑ | 突破20日高 | RSI=61,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買3日 | 投信賣超,50.0,,,🌐 VIX 17.43 低波動,59.3,強力候選,
6505,53.0,MA多頭 | MACD↑ | 突破20日高 | RSI=84 | KD黃金交叉,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 17.43 低波動,52.6,觀察股,
2376,71.0,MA多頭 | RSI=48 | KD黃金交叉 | 突破布林中軌,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買3日,50.0,,,🌐 VIX 17.43 低波動,51.4,觀察股,
2105,60.0,MA多頭 | MACD↑ | RSI=69,37.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.43 低波動,50.8,觀察股,
2395,68.0,MA多頭 | MACD↑ | RSI=69 | KD黃金交叉,30.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 17.43 低波動,50.3,觀察股,
2884,45.0,MA多頭 | MACD↑ | 突破20日高 | RSI=70,37.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買5日 | 投信連買4日,50.0,,,🌐 VIX 17.43 低波動,50.3,觀察股,
6669,43.0,MA多頭 | RSI=59 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.43 低波動,50.2,觀察股,
2892,58.0,MA多頭 | 突破20日高 | RSI=63,22.0,持續配息,50.0,無重大訊息,74.0,外資買超 | 投信連買4日,50.0,,,🌐 VIX 17.43 低波動,49.2,觀察股,
2603,43.0,MA多頭 | MACD↑ | 突破20日高 | RSI=70 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.43 低波動,48.4,觀察股,
2002,59.0,MACD↑ | RSI=50 | 突破布林中軌,22.0,持續配息,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.43 低波動,47.2,觀察股,
1326,60.0,MA多頭 | MACD↑ | RSI=65,37.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,外資賣超,50.0,,,🌐 VIX 17.43 低波動,47.2,觀察股,
2609,41.0,RSI=47 | KD黃金交叉 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.43 低波動,46.6,觀察股,
