stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
2337,65.0,MA多頭 | MACD↑ | RSI=51,38.0,營收動能,50.0,無重大訊息,51.2,觀察股
2885,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=69,30.0,營收動能,62.0,"[positive] 元大金控代子公司元大證券公告取得元大期貨股份有限公司115年 | [positive] 元大金控代元大證券(韓國)公告取得
KBI METAL C",50.4,觀察股
3711,53.0,MA多頭 | RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,49.2,觀察股
3034,55.0,MA多頭 | MACD↑ | RSI=67,37.0,持續配息 | 營收動能,57.5,[positive] 代子公司詠旭投資股份有限公司公告處分有價證券,48.3,觀察股
2408,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=67,30.0,營收動能,50.0,無重大訊息,48.0,觀察股
2330,55.0,MA多頭 | MACD↑ | RSI=56,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
2303,43.0,MA多頭 | RSI=51,45.0,持續配息 | 營收動能,50.0,無重大訊息,45.2,觀察股
1301,65.0,MA多頭 | MACD↑ | RSI=60,22.0,持續配息,50.0,無重大訊息,44.8,觀察股
1303,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=74,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
1326,55.0,MA多頭 | MACD↑ | RSI=59,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
6505,55.0,MA多頭 | MACD↑ | RSI=56,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2609,33.0,RSI=45,45.0,持續配息 | 營收動能,60.0,[positive] 本公司受邀參加由群益金鼎證券股份有限公司舉辦之線上法人說明會,43.2,觀察股
2345,33.0,RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2317,33.0,RSI=40,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2301,33.0,RSI=38,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2412,55.0,MA多頭 | MACD↑ | RSI=68,22.0,持續配息,50.0,無重大訊息,40.8,觀察股
5880,30.0,MA多頭 | MACD↑ | RSI=79,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
2327,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=79,30.0,營收動能,57.5,"[positive] 係因本公司有價證券於集中市場達公布注意交易資訊標準，
故公",39.5,普通
2379,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=75,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2615,25.0,RSI=45,45.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
6669,33.0,RSI=40,37.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2002,45.0,MACD↑ | RSI=50,22.0,持續配息,50.0,無重大訊息,36.8,普通
2353,35.0,MA多頭 | RSI=48,30.0,持續配息 | 營收動能,50.0,無重大訊息,36.0,普通
2454,35.0,MA多頭 | RSI=52,29.0,持續配息,50.0,無重大訊息,35.6,普通
3008,30.0,MA多頭 | MACD↑ | RSI=79,30.0,持續配息 | 營收動能,57.5,"[positive] 係因本公司有價證券於集中交易市場達公布注意交易資訊標準
，",35.5,普通
6415,33.0,RSI=54,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2360,33.0,RSI=41,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2354,33.0,RSI=43,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
1590,33.0,RSI=48,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
8046,33.0,RSI=52,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2395,33.0,RSI=50,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2308,25.0,RSI=35,37.0,持續配息 | 營收動能,50.0,無重大訊息,34.8,普通
2891,30.0,MA多頭 | MACD↑ | RSI=73,30.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
2884,30.0,MA多頭 | MACD↑ | RSI=82,30.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
2603,15.0,RSI=38,45.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
3017,23.0,RSI=37,37.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
4938,15.0,RSI=41,45.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
2892,30.0,MA多頭 | MACD↑ | RSI=93,30.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
3045,30.0,MA多頭 | MACD↑ | RSI=80,29.0,持續配息,50.0,無重大訊息,33.6,普通
2382,35.0,MA多頭 | RSI=61,23.0,營收動能,50.0,無重大訊息,33.2,普通
2886,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=86,15.0,營收動能,50.0,無重大訊息,32.0,普通
2882,30.0,MA多頭 | MACD↑ | RSI=81,15.0,營收動能,67.5,[positive] 代子公司國泰人壽保險股份有限公司公告，受邀參加巴克萊銀行舉辦,31.5,普通
2207,23.0,RSI=50,30.0,持續配息 | 營收動能,50.0,無重大訊息,31.2,普通
2881,30.0,MA多頭 | MACD↑ | RSI=81,15.0,營收動能,57.5,"[positive] 富邦金控代子公司富邦人壽公告取得8VC Fund VII, ",29.5,普通
2883,30.0,MA多頭 | MACD↑ | RSI=81,15.0,營收動能,57.5,"[positive] 代子公司開發資本所屬之GM公告董事會決議投資
Tenon ",29.5,普通
2376,25.0,RSI=40,22.0,持續配息,50.0,無重大訊息,28.8,普通
2357,25.0,RSI=54,22.0,持續配息,50.0,無重大訊息,28.8,普通
2105,15.0,RSI=36,15.0,,50.0,無重大訊息,22.0,普通
2474,15.0,RSI=50,15.0,持續配息,50.0,無重大訊息,22.0,普通
3036,0.0,RSI=12,30.0,持續配息 | 營收動能,50.0,無重大訊息,22.0,普通
