stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
6669,78.0,MA多頭 | MACD↑ | 突破20日高 | RSI=60 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買3日,50.0,,,🌐 VIX 17.33 低波動,63.1,強力候選,
1326,68.0,MA多頭 | MACD↑ | RSI=65 | KD黃金交叉,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,56.6,強力候選,
2615,64.0,MA多頭 | MACD↑ | RSI=63,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買4日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,55.8,強力候選,
5880,60.0,MA多頭 | MACD↑ | RSI=68,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,51.7,觀察股,
2301,51.0,RSI=49 | KD黃金交叉 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,50.0,觀察股,
2354,41.0,RSI=54 | KD黃金交叉 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,49.6,觀察股,
2376,64.0,MA多頭 | MACD↑ | RSI=57,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 17.33 低波動,48.9,觀察股,
2317,44.0,MACD↑ | RSI=53,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買3日 | 投信連買3日,50.0,,,🌐 VIX 17.33 低波動,47.9,觀察股,
3034,41.0,RSI=39 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,47.8,觀察股,
2412,39.0,MACD↑ | RSI=41,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,47.6,觀察股,
2884,39.0,MA多頭 | MACD↑ | RSI=78,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,47.6,觀察股,
1590,54.0,MACD↑ | RSI=54,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,47.5,觀察股,
2603,39.0,MA多頭 | MACD↑ | RSI=72,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,47.0,觀察股,
2609,42.0,RSI=52,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,46.9,觀察股,
4938,54.0,MACD↑ | RSI=56,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,46.6,觀察股,
6505,35.0,MA多頭 | MACD↑ | RSI=86,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,46.2,觀察股,
2105,45.0,MA多頭 | MACD↑ | RSI=58,37.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,45.6,觀察股,
2330,41.0,RSI=41 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,45.4,觀察股,
2882,41.0,RSI=55 | KD黃金交叉,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,45.4,觀察股,
8046,48.0,MA多頭 | RSI=56,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,45.4,觀察股,
2002,54.0,MACD↑ | RSI=55,22.0,持續配息,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,45.4,觀察股,
3711,41.0,RSI=44 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買3日,50.0,,,🌐 VIX 17.33 低波動,45.4,觀察股,
2357,39.0,MA多頭 | MACD↑ | RSI=76,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,44.6,觀察股,
2408,51.0,RSI=54 | KD黃金交叉 | 突破布林中軌,30.0,營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,43.7,觀察股,
2360,49.0,MACD↑ | RSI=44 | 突破布林中軌,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,43.6,觀察股,
2395,49.0,MA多頭 | MACD↑ | 突破20日高 | RSI=72,30.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,43.6,觀察股,
2883,56.0,MA多頭 | RSI=65 | KD黃金交叉,7.0,,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,43.4,觀察股,
2891,48.0,RSI=30 | KD超賣黃金交叉,22.0,持續配息,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,43.3,觀察股,
2886,60.0,MA多頭 | MACD↑ | RSI=66,0.0,,50.0,無重大訊息,74.0,外資買超 | 投信連買4日,50.0,,,🌐 VIX 17.33 低波動,43.3,觀察股,
1303,48.0,MA多頭 | RSI=57,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,43.3,觀察股,
1301,60.0,MA多頭 | MACD↑ | RSI=63,15.0,持續配息,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,42.4,觀察股,
2207,35.0,MA多頭 | MACD↑ | RSI=71,37.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,42.1,觀察股,
2892,48.0,MA多頭 | RSI=60,22.0,持續配息,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,40.9,觀察股,
2379,37.0,RSI=37,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,40.6,觀察股,
2308,27.0,RSI=43,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,40.4,觀察股,
3045,27.0,RSI=34,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,40.4,觀察股,
2345,27.0,RSI=34,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,40.4,觀察股,
2881,51.0,RSI=58 | KD黃金交叉 | 突破布林中軌,0.0,,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,40.2,觀察股,
3017,27.0,RSI=36,45.0,持續配息 | 營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 17.33 低波動,39.8,普通,
2303,33.0,RSI=36,45.0,持續配息 | 營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,38.9,普通,
2382,23.0,RSI=30,37.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,37.8,普通,
3036,27.0,RSI=38,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,37.2,普通,
2885,33.0,RSI=42,15.0,營收動能,62.0,[positive] 元大金控代子公司元大證券(韓國)補充112年3月21日公告之 | [positive] 元大金控代子公司元大投資(韓國)補充112年3月21日公告之,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,36.6,普通,
2353,27.0,RSI=40,22.0,持續配息,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,35.9,普通,
2454,27.0,RSI=36,37.0,持續配息 | 營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,34.4,普通,
6415,27.0,RSI=35,37.0,持續配息 | 營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,34.4,普通,
2337,31.0,RSI=45 | KD黃金交叉,30.0,營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,33.8,普通,
3008,33.0,RSI=41,15.0,持續配息,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.33 低波動,33.6,普通,
2474,27.0,RSI=37,15.0,持續配息,60.0,[positive] 本公司受邀參加國票證券舉辦之法人座談會,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 17.33 低波動,33.0,普通,
2327,13.0,RSI=16 | KD超賣黃金交叉,30.0,營收動能,57.5,[positive] 代子公司東莞奇力新電子有限公司公告取得理財商品,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.33 低波動,28.6,普通,
