stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
2412,60.0,MA多頭 | MACD↑ | RSI=53,37.0,持續配息 | 營收動能,50.0,無重大訊息,78.8,外資連買5日 | 投信買超 | 券資比0.05↓低 | 融資暴增+34.2%⚠️ | 使用率0%↓,65.0,券資比0.05↓低 | 融資暴增+34.2%⚠️ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",60.5,觀察股,140.5,
3034,74.0,MA多頭 | MACD↑ | RSI=40 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,59.8,外資連買5日 | 投信賣超 | 券資比0.01↓低 | 融資-14.1%↓ | 使用率2%↓,55.0,券資比0.01↓低 | 融資-14.1%↓ | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",59.6,觀察股,505.0,
2002,60.0,MA多頭 | MACD↑ | RSI=56,22.0,持續配息,50.0,無重大訊息,80.8,外資連買5日 | 投信買超 | 券資比0.02↓低 | 使用率1%↓,70.0,券資比0.02↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",58.2,觀察股,18.95,
2884,60.0,MA多頭 | MACD↑ | RSI=67 | KD黃金交叉,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資連買4日 | 投信連買5日 | 券資比0.03↓低 | 融資-20.4%↓ | 使用率0%↓,55.0,券資比0.03↓低 | 融資-20.4%↓ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",58.0,觀察股,36.5,📰 ⚠️負面 三商壽併入玉山金 8月20日停止買賣、9…
2615,60.0,MA多頭 | MACD↑ | RSI=64,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.00↓低 | 融資-11.2%↓ | 使用率2%↓,55.0,券資比0.00↓低 | 融資-11.2%↓ | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",57.5,觀察股,85.0,📰 正面 萬海首季獲利年減12% 每股盈餘2.73…
2357,60.0,MA多頭 | MACD↑ | RSI=68,37.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買3日 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",57.0,觀察股,761.0,📰 正面 華碩AI伺服器動能向上，今、明年獲利看增…
2609,45.0,MA多頭 | MACD↑ | RSI=42,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.01↓低 | 使用率4%↓,70.0,券資比0.01↓低 | 使用率4%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",55.1,觀察股,50.1,📰 正面 【2026/06月營收公告】陽明(260…
6669,55.0,MA多頭 | MACD↑ | RSI=52,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.8,外資買超 | 投信連買4日 | 券資比0.01↓低 | 融資-11.9%↓ | 使用率3%↓,55.0,券資比0.01↓低 | 融資-11.9%↓ | 使用率3%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",55.0,觀察股,5135.0,
2603,50.0,MA多頭 | MACD↑ | RSI=58,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資連買5日 | 投信賣超 | 券資比0.01↓低 | 使用率3%↓,70.0,券資比0.01↓低 | 使用率3%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",54.5,觀察股,201.5,
2207,39.0,MA多頭 | MACD↑ | 突破20日高 | RSI=80,37.0,持續配息 | 營收動能,50.0,無重大訊息,74.8,外資連買3日 | 投信買超 | 券資比0.00↓低 | 融資-26.0%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-26.0%↓ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-82,785口 🔴 偏空｜VIX 18.28 低波動｜Fed 3.76%短率降",52.8,觀察股,519.0,📰 正面 營收速報》併購效應 和泰車營收創新高 -…
