stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
1303,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=70,45.0,持續配息 | 營收動能,50.0,無重大訊息,54.0,觀察股
2603,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=58,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.8,觀察股
2379,55.0,MA多頭 | MACD↑ | RSI=64,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2360,55.0,MA多頭 | MACD↑ | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2301,55.0,MA多頭 | MACD↑ | RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
6415,55.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2395,55.0,MA多頭 | MACD↑ | RSI=58,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
3711,55.0,MA多頭 | MACD↑ | RSI=58,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2382,75.0,MA多頭 | MACD↑ | 突破20日高 | RSI=61,23.0,營收動能,50.0,無重大訊息,49.2,觀察股
8046,53.0,MA多頭 | RSI=51,45.0,持續配息 | 營收動能,50.0,無重大訊息,49.2,觀察股
2408,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=64,30.0,營收動能,50.0,無重大訊息,48.0,觀察股
2317,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=77,45.0,持續配息 | 營收動能,67.5,[positive] 公告本公司參與投資人說明會,47.5,觀察股
2337,55.0,MA多頭 | MACD↑ | RSI=59,38.0,營收動能,50.0,無重大訊息,47.2,觀察股
2615,55.0,MA多頭 | MACD↑ | RSI=67,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
1301,45.0,MACD↑ | RSI=62,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
2474,75.0,MA多頭 | MACD↑ | 突破20日高 | RSI=59,15.0,持續配息,50.0,無重大訊息,46.0,觀察股
2345,43.0,MA多頭 | RSI=49,45.0,持續配息 | 營收動能,50.0,無重大訊息,45.2,觀察股
2412,65.0,MA多頭 | MACD↑ | RSI=62,22.0,持續配息,50.0,無重大訊息,44.8,觀察股
3036,55.0,MA多頭 | MACD↑ | RSI=57,30.0,營收動能,50.0,無重大訊息,44.0,觀察股
2353,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=85,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
