stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
6669,64.0,MA多頭 | MACD↑ | 突破20日高 | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.01↓低 | 使用率4%↓,70.0,券資比0.01↓低 | 使用率4%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",64.0,強力候選,
2615,64.0,MA多頭 | MACD↑ | RSI=59,45.0,持續配息 | 營收動能,50.0,無重大訊息,77.8,外資連買5日 | 投信連買5日 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",62.9,強力候選,
2412,64.0,MA多頭 | MACD↑ | RSI=44 | 突破布林中軌,37.0,持續配息 | 營收動能,50.0,無重大訊息,78.8,外資連買5日 | 投信買超 | 券資比0.03↓低 | 融資暴增+268.3%⚠️ | 使用率0%↓,65.0,券資比0.03↓低 | 融資暴增+268.3%⚠️ | 使用率0%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",61.7,強力候選,
1326,60.0,MA多頭 | MACD↑ | RSI=49,37.0,持續配息 | 營收動能,50.0,無重大訊息,75.8,外資買超 | 投信買超 | 券資比0.03↓低 | 融資+7.0% | 使用率3%↓,80.0,券資比0.03↓低 | 融資+7.0% | 使用率3%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",59.4,強力候選,
4938,64.0,MA多頭 | MACD↑ | RSI=63,30.0,持續配息 | 營收動能,50.0,無重大訊息,69.8,外資連買4日 | 投信賣超 | 券資比0.01↓低 | 融資+9.9% | 使用率1%↓,80.0,券資比0.01↓低 | 融資+9.9% | 使用率1%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",57.1,強力候選,
2207,60.0,MA多頭 | MACD↑ | RSI=68,37.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.00↓低 | 融資-19.8%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-19.8%↓ | 使用率0%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",55.9,強力候選,
2354,44.0,MACD↑ | RSI=55,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.00↓低 | 使用率7%↓,70.0,券資比0.00↓低 | 使用率7%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",54.8,觀察股,
2603,50.0,MA多頭 | MACD↑ | RSI=63 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資連買5日 | 投信賣超 | 券資比0.02↓低 | 使用率3%↓,70.0,券資比0.02↓低 | 使用率3%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",54.5,觀察股,
2002,64.0,MA多頭 | MACD↑ | RSI=55,22.0,持續配息,50.0,無重大訊息,65.8,外資連買5日 | 投信賣超 | 券資比0.00↓低 | 使用率1%↓,70.0,券資比0.00↓低 | 使用率1%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",54.1,觀察股,
2317,54.0,MA多頭 | MACD↑ | RSI=61,30.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"🌐 外資期貨-76,260口 🔴 偏空 | VIX 18.75 低波動 | Fed 3.8% 短率升",53.8,觀察股,
