stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
2379,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=68,30.0,持續配息 | 營收動能,50.0,無重大訊息,48.0,觀察股
1326,65.0,MA多頭 | MACD↑ | RSI=64,30.0,持續配息 | 營收動能,50.0,無重大訊息,48.0,觀察股
2408,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=67,30.0,營收動能,50.0,無重大訊息,48.0,觀察股
2303,43.0,MA多頭 | RSI=49,45.0,持續配息 | 營收動能,57.5,[positive] 公告本公司處分聯詠科技股份有限公司證券之相關資料,46.7,觀察股
3034,53.0,MA多頭 | 突破20日高 | RSI=66,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
6505,55.0,MA多頭 | MACD↑ | RSI=58,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
5880,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=80,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
1303,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=73,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2337,45.0,MACD↑ | RSI=51,38.0,營收動能,50.0,無重大訊息,43.2,觀察股
2330,43.0,MA多頭 | RSI=59,37.0,持續配息 | 營收動能,50.0,無重大訊息,42.0,觀察股
2885,55.0,MA多頭 | MACD↑ | RSI=68,30.0,營收動能,40.0,"[negative] 元大金控代子公司元大創投公告董事會決議與元大壹創投簡易合併 | [negative] 元大金控代子公司元大壹創投公告董事會決議與元大創投簡易合併 | [positive] 元大金控代子公司元大壹創業投資（股）公司
就簡易合併案辦理",42.0,觀察股
2317,33.0,RSI=54,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
3711,33.0,RSI=44,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2609,33.0,RSI=47,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2345,33.0,RSI=53,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2301,33.0,RSI=40,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2454,43.0,MA多頭 | RSI=51,29.0,持續配息,50.0,無重大訊息,38.8,普通
2884,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=84,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
3008,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=80,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2615,25.0,RSI=49,45.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2892,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=93,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
6669,33.0,RSI=53,37.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2891,30.0,MA多頭 | MACD↑ | RSI=73,30.0,持續配息 | 營收動能,62.0,"[positive] 代台灣人壽公告核准投資
ARDIAN Expansion  | [positive] 代子公司中國信託商業銀行美國子行CTBC Bank Corp",36.4,普通
2353,35.0,MA多頭 | RSI=55,30.0,持續配息 | 營收動能,50.0,無重大訊息,36.0,普通
6415,33.0,RSI=43,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2354,33.0,RSI=48,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2395,33.0,RSI=49,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
1590,33.0,RSI=43,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
8046,33.0,RSI=53,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2308,25.0,RSI=38,37.0,持續配息 | 營收動能,50.0,無重大訊息,34.8,普通
2881,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=80,15.0,營收動能,62.0,[positive] 富邦金控代子公司富邦人壽公告取得Transpose Plat | [positive] 富邦金控代子公司富邦人壽公告取得Transpose Plat,34.4,普通
4938,15.0,RSI=49,45.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
2603,15.0,RSI=40,45.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
2327,30.0,MA多頭 | MACD↑ | RSI=74,30.0,營收動能,50.0,無重大訊息,34.0,普通
3017,23.0,RSI=40,37.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
3045,30.0,MA多頭 | MACD↑ | RSI=81,29.0,持續配息,50.0,無重大訊息,33.6,普通
2886,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=85,15.0,營收動能,57.5,[positive] 代本公司之子公司兆豐國際商業銀行公告授信資產之轉讓,33.5,普通
2382,35.0,MA多頭 | RSI=67,23.0,營收動能,50.0,無重大訊息,33.2,普通
1301,35.0,MACD↑ | RSI=57,22.0,持續配息,50.0,無重大訊息,32.8,普通
2882,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=81,15.0,營收動能,50.0,無重大訊息,32.0,普通
2360,25.0,RSI=36,30.0,持續配息 | 營收動能,50.0,無重大訊息,32.0,普通
2376,33.0,RSI=53,22.0,持續配息,50.0,無重大訊息,32.0,普通
2412,30.0,MA多頭 | MACD↑ | RSI=74,22.0,持續配息,50.0,無重大訊息,30.8,普通
2357,25.0,RSI=63,22.0,持續配息,50.0,無重大訊息,28.8,普通
2207,15.0,RSI=52,30.0,持續配息 | 營收動能,50.0,無重大訊息,28.0,普通
