stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
3711,55.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,60.0,[positive] 公告本公司將受邀參加「Citi Taiwan Tech Co,52.0,觀察股
2603,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=68,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.8,觀察股
2303,55.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2360,55.0,MA多頭 | MACD↑ | RSI=62,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2379,55.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2884,55.0,MACD↑ | 突破20日高 | RSI=62,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2330,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=69,30.0,持續配息 | 營收動能,57.5,[positive] 本公司代子公司 TSMC Global Ltd. 公告取得固,49.5,觀察股
6505,65.0,MA多頭 | MACD↑ | RSI=67,30.0,持續配息 | 營收動能,50.0,無重大訊息,48.0,觀察股
6415,35.0,MA多頭 | RSI=62,45.0,持續配息 | 營收動能,80.0,[positive] 本公司受邀參加Citi 2026 Taiwan Tech C | [positive] 本公司受邀參加玉山證券舉辦之法人說明會 | [positive] 本公司受邀參加Daiwa Tech Conference 2,48.0,觀察股
3017,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=63,30.0,持續配息 | 營收動能,50.0,無重大訊息,48.0,觀察股
3008,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=68,30.0,持續配息 | 營收動能,50.0,無重大訊息,48.0,觀察股
2337,55.0,MA多頭 | MACD↑ | RSI=46,38.0,營收動能,50.0,無重大訊息,47.2,觀察股
2002,55.0,MA多頭 | MACD↑ | RSI=63,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
2207,45.0,MA多頭 | MACD↑ | RSI=59,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
2892,45.0,MACD↑ | RSI=45,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
