stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
2207,60.0,MA多頭 | MACD↑ | 突破20日高 | RSI=65 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.00↓低 | 使用率0%↓,70.0,券資比0.00↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",62.8,強力候選,539.0,📰 正面 營收速報》併購效應 和泰車營收創新高 -…
3017,60.0,MA多頭 | MACD↑ | 突破20日高 | RSI=65,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.8,外資連買3日 | 投信買超 | 券資比0.01↓低 | 融資-10.7%↓ | 使用率4%↓,55.0,券資比0.01↓低 | 融資-10.7%↓ | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",60.7,強力候選,3570.0,📰 正面 〈財經週報-台股熱點〉訂單能見度高 散熱…
2376,64.0,MA多頭 | MACD↑ | RSI=52 | 突破布林中軌,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.03↓低 | 使用率4%↓,70.0,券資比0.03↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",59.2,強力候選,361.0,📰 正面 技嘉Q2獲利季增25%/創高；上修全年資…
2354,64.0,MA多頭 | MACD↑ | RSI=63,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資連買5日 | 投信賣超 | 券資比0.00↓低 | 使用率7%↓,70.0,券資比0.00↓低 | 使用率7%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",58.7,強力候選,65.6,📰 正面 鴻準7月營收創新高！AI需求助攻亮燈漲停…
2886,64.0,MA多頭 | MACD↑ | RSI=69,29.0,持續配息,50.0,無重大訊息,74.8,外資連買5日 | 投信買超 | 券資比0.04↓低 | 融資-55.2%↓ | 使用率0%↓,55.0,券資比0.04↓低 | 融資-55.2%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",58.7,強力候選,49.55,📰 正面 亞洲資產管理中心專法醞釀！金融三業獲利創…
1326,60.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.02↓低 | 融資-19.2%↓ | 使用率2%↓,55.0,券資比0.02↓低 | 融資-19.2%↓ | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",57.5,強力候選,69.8,📰 正面 【即時新聞】台化(1326)強勢轉盈獲外…
2357,60.0,MA多頭 | MACD↑ | RSI=67 | KD黃金交叉,30.0,持續配息 | 營收動能,50.0,無重大訊息,72.8,外資買超 | 投信連買5日 | 券資比0.02↓低 | 融資+9.3% | 使用率1%↓,80.0,券資比0.02↓低 | 融資+9.3% | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",57.0,強力候選,1025.0,
2353,64.0,MA多頭 | MACD↑ | RSI=59,30.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.06↓低 | 使用率5%↓,70.0,券資比0.06↓低 | 使用率5%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",56.8,強力候選,32.7,
2891,60.0,MA多頭 | MACD↑ | 突破20日高 | RSI=60,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資連買5日 | 投信連買5日 | 券資比0.02↓低 | 融資-13.2%↓ | 使用率0%↓,55.0,券資比0.02↓低 | 融資-13.2%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",56.6,強力候選,68.4,📰 正面 中信金法說1》加計股票處分獲利 前七月E…
2317,54.0,MACD↑ | RSI=51 | 突破布林中軌,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",56.2,強力候選,256.0,📰 正面 鴻海（2317）AI訂單排到2027！黃…
2382,60.0,MA多頭 | MACD↑ | 突破20日高 | RSI=60,30.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.00↓低 | 使用率1%↓,70.0,券資比0.00↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",55.6,強力候選,345.0,📰 正面 廣達AI伺服器續旺，今、明年獲利看持續成…
2474,60.0,MA多頭 | MACD↑ | RSI=62,22.0,持續配息,57.5,[positive] 公告本公司買回股份金額達新台幣三億元以上,68.8,外資買超 | 投信連買3日 | 券資比0.00↓低 | 使用率5%↓,70.0,券資比0.00↓低 | 使用率5%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",55.1,強力候選,209.5,📰 正面 〈可成股東會〉可成伺服器去年Q4已開始出…
6505,64.0,MA多頭 | MACD↑ | RSI=61,45.0,持續配息 | 營收動能,50.0,無重大訊息,55.0,外資賣超 | 投信買超 | 券資比0.02↓低 | 使用率0%↓,70.0,券資比0.02↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",55.0,強力候選,78.1,📰 正面 不只南亞！台塑四寶第2檔百元股是他龍頭法…
2395,48.0,MA多頭 | RSI=58 | KD黃金交叉 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.02↓低 | 使用率1%↓,70.0,券資比0.02↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",55.0,強力候選,711.0,📰 正面 【11:16 即時新聞】研華(2395)…
4938,64.0,MA多頭 | MACD↑ | RSI=66,30.0,持續配息 | 營收動能,50.0,無重大訊息,62.8,外資買超 | 投信連買5日 | 券資比0.01↓低 | 融資-10.9%↓ | 使用率1%↓,55.0,券資比0.01↓低 | 融資-10.9%↓ | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",54.7,觀察股,95.4,📰 正面 和碩AI伺服器動能走強，明年獲利看增- …
2609,40.0,MA多頭 | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.06↓低 | 使用率4%↓,70.0,券資比0.06↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,389口 🔴 偏空｜VIX 14.09 低波動｜Fed 3.74%短率降",53.6,觀察股,58.2,
