stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
2308,55.0,MA多頭 | MACD↑ | RSI=59,30.0,持續配息 | 營收動能,100.0,[positive] 本公司115年股東常會通過解除董事競業禁止之限制案 | [positive] 本公司受邀參加法人說明會之相關資訊 | [positive] 本公司受邀參加法人說明會之相關訊息 | [positive] 本公司受邀參加法人說明會之相關資訊 | [positive] 本公司受邀參加法人說明會之相關資訊,54.0,觀察股
2376,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,54.0,觀察股
3711,55.0,MA多頭 | MACD↑ | RSI=62,45.0,持續配息 | 營收動能,60.0,[positive] 公告本公司將受邀參加「Morgan Stanley Asia,52.0,觀察股
2360,55.0,MA多頭 | MACD↑ | RSI=57,45.0,持續配息 | 營收動能,57.5,"[positive] 係因本公司有價證券於集中交易市場達公布注意交易資訊
標準，",51.5,觀察股
1303,55.0,MA多頭 | MACD↑ | RSI=58,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2395,55.0,MA多頭 | MACD↑ | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
6415,55.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2379,55.0,MA多頭 | MACD↑ | RSI=49,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2301,55.0,MA多頭 | MACD↑ | RSI=55,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
4938,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=63,30.0,持續配息 | 營收動能,57.5,[positive] 公告本公司115年股東常會決議解除董事競業禁止案,49.5,觀察股
2615,55.0,MA多頭 | MACD↑ | RSI=58,37.0,持續配息 | 營收動能,57.5,[positive] 本公司股東會決議解除新任董事競業禁止之限制,48.3,觀察股
2603,55.0,MA多頭 | MACD↑ | RSI=49,37.0,持續配息 | 營收動能,57.5,"[positive] 公告本公司115年股東常會決議解除新任董事及其所代表
法人",48.3,觀察股
2357,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=65,30.0,持續配息 | 營收動能,50.0,無重大訊息,48.0,觀察股
2337,53.0,MA多頭 | RSI=54,38.0,營收動能,50.0,無重大訊息,46.4,觀察股
2408,55.0,MA多頭 | MACD↑ | RSI=61,30.0,營收動能,60.0,[positive] 本公司受邀參加Morgan Stanley Asia AI ,46.0,觀察股
2609,45.0,MA多頭 | MACD↑ | RSI=59,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
2883,65.0,MA多頭 | MACD↑ | RSI=47,22.0,營收動能,50.0,無重大訊息,44.8,觀察股
