stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
2615,60.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.8,外資連買3日 | 投信買超 | 券資比0.01↓低 | 融資-10.7%↓ | 使用率2%↓,55.0,券資比0.01↓低 | 融資-10.7%↓ | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",60.7,觀察股,84.4,📰 正面 萬海首季獲利年減12% 每股盈餘2.73…
3034,49.0,MA多頭 | MACD↑ | RSI=38,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買5日 | 投信買超 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",59.5,觀察股,491.0,
2603,50.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,77.8,外資連買5日 | 投信連買5日 | 券資比0.02↓低 | 使用率3%↓,70.0,券資比0.02↓低 | 使用率3%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",58.7,觀察股,201.0,
2002,60.0,MA多頭 | MACD↑ | RSI=61,22.0,持續配息,50.0,無重大訊息,77.8,外資連買5日 | 投信連買3日 | 券資比0.03↓低 | 使用率1%↓,70.0,券資比0.03↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",57.1,觀察股,18.95,
2357,60.0,MA多頭 | MACD↑ | RSI=62,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.8,外資買超 | 投信連買4日 | 券資比0.01↓低 | 融資-10.7%↓ | 使用率1%↓,55.0,券資比0.01↓低 | 融資-10.7%↓ | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",54.9,觀察股,737.0,📰 正面 【買進 – 華碩(2357) 】上修展望…
2884,39.0,MA多頭 | MACD↑ | 突破20日高 | RSI=73,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.8,外資連買5日 | 投信連買5日 | 券資比0.03↓低 | 使用率0%↓,70.0,券資比0.03↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",53.8,觀察股,37.7,
2207,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=91,37.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買4日 | 投信買超 | 券資比0.00↓低 | 使用率0%↓,70.0,券資比0.00↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",53.7,觀察股,551.0,📰 正面 營收速報》併購效應 和泰車營收創新高 -…
2412,35.0,MA多頭 | MACD↑ | RSI=82,37.0,持續配息 | 營收動能,50.0,無重大訊息,78.8,外資連買5日 | 投信買超 | 券資比0.07↓低 | 融資暴增+209.4%⚠️ | 使用率0%↓,65.0,券資比0.07↓低 | 融資暴增+209.4%⚠️ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",53.0,觀察股,140.5,📰 正面 AI翻轉電信股！電信3雄搶攻AIDC新商…
3045,29.0,MA多頭 | MACD↑ | RSI=82,37.0,持續配息 | 營收動能,50.0,無重大訊息,75.8,外資連買5日 | 投信連買5日 | 券資比0.07↓低 | 融資暴增+100.2%⚠️ | 使用率0%↓,65.0,券資比0.07↓低 | 融資暴增+100.2%⚠️ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",50.1,觀察股,114.0,📰 正面 台灣大三大引擎加速成長迎黃金十年 獲利勁…
2609,35.0,MACD↑ | RSI=44,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資連買3日 | 投信賣超 | 券資比0.01↓低 | 使用率4%↓,70.0,券資比0.01↓低 | 使用率4%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",50.0,觀察股,50.0,
5880,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=88,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資連買5日 | 投信連買5日 | 券資比0.00↓低 | 融資-14.4%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-14.4%↓ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",49.1,觀察股,27.0,📰 正面 〈合庫金股東會〉總資產破5.38兆！EP…
2892,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=74,22.0,持續配息,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.01↓低 | 使用率0%↓,70.0,券資比0.01↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",46.5,觀察股,35.5,
6669,45.0,MA多頭 | MACD↑ | RSI=48,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,外資賣超 | 投信連買5日 | 券資比0.01↓低 | 融資-28.1%↓ | 使用率3%↓,55.0,券資比0.01↓低 | 融資-28.1%↓ | 使用率3%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",46.1,觀察股,4900.0,
2882,43.0,MA多頭 | RSI=47,37.0,持續配息 | 營收動能,58.0,[positive] 公告本公司115年第二季法人說明會日期,46.0,外資賣超 | 投信連買5日 | 券資比0.15 | 使用率0%↓,55.0,券資比0.15 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",45.1,普通,95.2,
4938,25.0,MA多頭 | RSI=45,30.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買4日 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",45.1,普通,80.5,
2883,35.0,MA多頭 | RSI=41,7.0,,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.02↓低 | 使用率0%↓,70.0,券資比0.02↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",44.5,普通,28.95,
2360,35.0,MACD↑ | RSI=54,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資賣超 | 投信連買5日 | 券資比0.01↓低 | 融資+5.8% | 使用率1%↓,80.0,券資比0.01↓低 | 融資+5.8% | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",43.6,普通,1910.0,
2395,40.0,MA多頭 | RSI=52,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,外資賣超 | 投信連買5日 | 券資比0.01↓低 | 融資-12.5%↓ | 使用率1%↓,55.0,券資比0.01↓低 | 融資-12.5%↓ | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",43.0,普通,547.0,
2881,35.0,MA多頭 | RSI=49,0.0,,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.03↓低 | 使用率0%↓,70.0,券資比0.03↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",42.1,普通,124.0,
2886,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=81,0.0,,50.0,無重大訊息,66.8,外資買超 | 投信連買5日 | 券資比0.07↓低 | 融資暴增+145.9%⚠️ | 使用率0%↓,65.0,券資比0.07↓低 | 融資暴增+145.9%⚠️ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",41.4,普通,51.5,
1590,25.0,MA多頭 | RSI=55,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.8,外資買超 | 投信賣超 | 券資比0.00↓低 | 融資-16.5%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-16.5%↓ | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",40.2,普通,1340.0,
2105,23.0,RSI=32,37.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買5日 | 券資比0.00↓低 | 使用率1%↓,70.0,券資比0.00↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",40.0,普通,30.55,
2354,15.0,RSI=33,45.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買5日 | 券資比0.00↓低 | 使用率7%↓,70.0,券資比0.00↓低 | 使用率7%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",39.2,普通,53.1,
2330,15.0,RSI=33,45.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買5日 | 券資比0.01↓低 | 使用率0%↓,70.0,券資比0.01↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",39.2,普通,2205.0,
2301,15.0,RSI=39,45.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買5日 | 券資比0.02↓低 | 使用率3%↓,70.0,券資比0.02↓低 | 使用率3%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,017口 🔴 偏空｜VIX 19.51 低波動｜Fed 3.66%短率降",39.2,普通,190.0,
