stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
1326,64.0,MA多頭 | MACD↑ | 突破20日高 | RSI=61,45.0,持續配息 | 營收動能,58.0,[positive] 本公司受邀參加華南永昌證券舉辦之法人說明會,80.8,外資連買3日 | 投信買超 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",65.2,強力候選,63.2,
2609,60.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,75.8,外資買超 | 投信買超 | 券資比0.07↓低 | 融資+5.9% | 使用率4%↓,80.0,券資比0.07↓低 | 融資+5.9% | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",61.0,觀察股,57.9,
2330,64.0,MA多頭 | MACD↑ | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.00↓低 | 使用率0%↓,70.0,券資比0.00↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",60.8,強力候選,2410.0,📰 正面 台積電(2330)領軍AI供應鏈齊漲！最…
1301,64.0,MA多頭 | MACD↑ | 突破20日高 | RSI=69,29.0,持續配息,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.04↓低 | 使用率1%↓,70.0,券資比0.04↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",60.8,強力候選,63.1,
3034,64.0,MA多頭 | MACD↑ | RSI=53,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資連買5日 | 投信賣超 | 券資比0.07↓低 | 使用率2%↓,70.0,券資比0.07↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",58.7,強力候選,548.0,
2354,64.0,MA多頭 | MACD↑ | RSI=62,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資連買5日 | 投信賣超 | 券資比0.00↓低 | 使用率8%↓,70.0,券資比0.00↓低 | 使用率8%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",58.7,強力候選,64.4,📰 正面 鴻準7月營收創新高！AI需求助攻亮燈漲停…
2603,60.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資連買5日 | 投信賣超 | 券資比0.03↓低 | 使用率2%↓,70.0,券資比0.03↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",57.5,觀察股,232.5,
2207,62.0,MA多頭 | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.8,外資買超 | 投信連買4日 | 券資比0.00↓低 | 融資-25.0%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-25.0%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",57.1,強力候選,527.0,📰 正面 營收速報》併購效應 和泰車營收創新高 -…
8046,60.0,MA多頭 | MACD↑ | RSI=66 | KD黃金交叉,45.0,持續配息 | 營收動能,58.0,[positive] 本公司受邀參加台新證券舉辦之2026年第三季投資論壇,55.0,外資賣超 | 投信買超 | 券資比0.07↓低 | 使用率7%↓,70.0,券資比0.07↓低 | 使用率7%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",55.0,觀察股,1295.0,
3045,60.0,MA多頭 | MACD↑ | RSI=68,22.0,持續配息,50.0,無重大訊息,70.8,外資連買5日 | 投信買超 | 券資比0.59↑高 | 使用率0%↓,45.0,券資比0.59↑高 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-84,836口 🔴 偏空｜VIX 14.62 低波動｜Fed 3.68%短率降",54.7,觀察股,115.5,
