stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
2330,64.0,MA多頭 | MACD↑ | 突破20日高 | RSI=68,45.0,持續配息 | 營收動能,62.8,[positive] 本公司受邀參加機構投資人說明會 | [positive] 本公司受邀參加機構投資人說明會,65.8,外資連買3日 | 投信賣超 | 券資比0.00↓低 | 使用率0%↓,70.0,券資比0.00↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",60.6,強力候選,2470.0,
2360,54.0,MACD↑ | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,75.8,外資買超 | 投信買超 | 券資比0.02↓低 | 融資+7.9% | 使用率1%↓,80.0,券資比0.02↓低 | 融資+7.9% | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",59.2,強力候選,2265.0,📰 正面 致茂營收／8月56.32億元創新高 輝達…
2891,64.0,MA多頭 | MACD↑ | RSI=63,30.0,持續配息 | 營收動能,58.0,[positive] 本公司參加第一金證券舉辦之投資人說明會,68.8,外資買超 | 投信連買5日 | 券資比0.02↓低 | 使用率0%↓,70.0,券資比0.02↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",58.0,強力候選,68.2,📰 正面 中信金(2891)淨值突破7000億！獲…
2207,64.0,MA多頭 | MACD↑ | RSI=70,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.8,外資買超 | 投信連買3日 | 券資比0.00↓低 | 融資-25.8%↓ | 使用率0%↓,55.0,券資比0.00↓低 | 融資-25.8%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",57.7,強力候選,535.0,
2354,60.0,MA多頭 | MACD↑ | RSI=64,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.00↓低 | 使用率7%↓,70.0,券資比0.00↓低 | 使用率7%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",54.4,觀察股,64.5,📰 正面 股價不買單！「這檔機殼大廠」8月營收暴增…
6505,64.0,MA多頭 | MACD↑ | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,52.0,外資賣超 | 投信連買3日 | 券資比0.02↓低 | 使用率0%↓,70.0,券資比0.02↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",53.9,觀察股,79.6,📰 正面 台塑化看好煉油利差維持高檔 9月煉量50…
2454,35.0,MA多頭 | MACD↑ | RSI=75,30.0,持續配息 | 營收動能,50.0,無重大訊息,81.8,外資連買4日 | 投信連買5日 | 券資比0.01↓低 | 融資+9.8% | 使用率3%↓,80.0,券資比0.01↓低 | 融資+9.8% | 使用率3%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",52.6,觀察股,4710.0,
2382,45.0,MA多頭 | MACD↑ | RSI=48,37.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",52.5,觀察股,328.0,📰 正面 廣達單月營收衝4239億元！年增177％…
2303,54.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資賣超 | 投信連買3日 | 券資比0.04↓低 | 融資+6.5% | 使用率6%↓,80.0,券資比0.04↓低 | 融資+6.5% | 使用率6%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",52.3,觀察股,137.0,
2376,55.0,MA多頭 | MACD↑ | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,55.0,外資賣超 | 投信買超 | 券資比0.03↓低 | 使用率4%↓,70.0,券資比0.03↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-82,262口 🔴 偏空｜VIX 15.69 低波動｜Fed 3.76%短率持平",52.2,觀察股,357.0,📰 正面 【2026/08月營收公告】技嘉(237…
