stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
1301,65.0,MA多頭 | MACD↑ | RSI=69,45.0,持續配息 | 營收動能,50.0,無重大訊息,54.0,觀察股
3711,55.0,MA多頭 | MACD↑ | RSI=57,45.0,持續配息 | 營收動能,60.0,[positive] 公告本公司將受邀參加「Goldman Sachs Taiwa,52.0,觀察股
2603,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=66,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.8,觀察股
2207,55.0,MA多頭 | MACD↑ | RSI=49,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2408,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=69,30.0,營收動能,60.0,[positive] 本公司受邀參加Daiwa Investment Confer,50.0,觀察股
2360,55.0,MA多頭 | MACD↑ | RSI=51,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2301,55.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2609,55.0,MA多頭 | MACD↑ | RSI=68,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
5880,55.0,MA多頭 | MACD↑ | RSI=59,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
6415,55.0,MA多頭 | MACD↑ | RSI=63,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2337,55.0,MA多頭 | MACD↑ | RSI=55,38.0,營收動能,57.5,"[positive] 奉證券交易所通知本公司股價變動達應公布注意交易資訊
標準，",48.7,觀察股
2330,55.0,MA多頭 | MACD↑ | RSI=69,30.0,持續配息 | 營收動能,62.0,[positive] 本公司代子公司 TSMC Global Ltd. 公告取得固 | [positive] 本公司代子公司 TSMC Global Ltd. 公告處分固,46.4,觀察股
2884,45.0,MACD↑ | RSI=54,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
3034,53.0,MA多頭 | 突破20日高 | RSI=58,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
2382,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=67,23.0,營收動能,50.0,無重大訊息,45.2,觀察股
2883,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=68,22.0,營收動能,50.0,無重大訊息,44.8,觀察股
3045,65.0,MA多頭 | MACD↑ | RSI=59,22.0,持續配息,50.0,無重大訊息,44.8,觀察股
1303,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=77,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2379,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=71,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2353,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=88,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2308,55.0,MA多頭 | MACD↑ | RSI=59,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
3017,55.0,MA多頭 | MACD↑ | RSI=55,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2002,45.0,MA多頭 | MACD↑ | RSI=57,37.0,持續配息 | 營收動能,50.0,無重大訊息,42.8,觀察股
2474,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=68,15.0,持續配息,50.0,無重大訊息,42.0,觀察股
8046,35.0,MA多頭 | RSI=48,45.0,持續配息 | 營收動能,50.0,無重大訊息,42.0,觀察股
2354,55.0,MA多頭 | MACD↑ | RSI=60,22.0,持續配息,50.0,無重大訊息,40.8,觀察股
2412,55.0,MA多頭 | MACD↑ | RSI=61,22.0,持續配息,50.0,無重大訊息,40.8,觀察股
2891,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=93,37.0,持續配息 | 營收動能,50.0,無重大訊息,40.8,觀察股
2376,30.0,MA多頭 | MACD↑ | RSI=77,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
6505,45.0,MACD↑ | RSI=58,30.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
2395,30.0,MA多頭 | MACD↑ | RSI=73,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
2303,30.0,MA多頭 | MACD↑ | RSI=81,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
2317,30.0,MA多頭 | MACD↑ | RSI=79,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
4938,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=80,30.0,持續配息 | 營收動能,60.0,[positive] 本公司受邀參加花旗證券舉辦之2026 Taiwan Tech,40.0,觀察股
6669,43.0,MA多頭 | RSI=48,30.0,持續配息 | 營收動能,50.0,無重大訊息,39.2,普通
2327,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=91,30.0,營收動能,50.0,無重大訊息,38.0,普通
2345,25.0,RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2357,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=83,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2454,55.0,MA多頭 | MACD↑ | RSI=69,15.0,持續配息,50.0,無重大訊息,38.0,普通
2892,23.0,RSI=33,45.0,持續配息 | 營收動能,50.0,無重大訊息,37.2,普通
2615,30.0,MA多頭 | MACD↑ | RSI=76,37.0,持續配息 | 營收動能,50.0,無重大訊息,36.8,普通
3036,35.0,MA多頭 | RSI=54,30.0,營收動能,50.0,無重大訊息,36.0,普通
2886,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=71,22.0,營收動能,50.0,無重大訊息,34.8,普通
2105,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=75,22.0,持續配息,50.0,無重大訊息,34.8,普通
2881,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=87,22.0,營收動能,50.0,無重大訊息,34.8,普通
