date,stock_id,tier,final_score,tech_score,fund_score,event_score,chip_score,ret_5d,ret_10d,ret_20d,ret_now
2026-05-25,3711,強力候選,58.0,75.0,45.0,50.0,,-2.593192868719611,-12.479740680713128,7.293354943273905,-1.1345218800648298
2026-05-25,2379,觀察股,50.0,55.0,45.0,50.0,,4.459691252144083,2.2298456260720414,48.02744425385935,27.615780445969122
2026-05-25,2317,觀察股,49.2,53.0,45.0,50.0,,12.452107279693486,3.256704980842912,-0.5747126436781609,-1.9157088122605364
2026-05-25,2891,觀察股,46.8,55.0,37.0,50.0,,8.376963350785347,14.136125654450277,26.352530541012232,16.055846422338576
2026-05-25,2615,觀察股,46.8,55.0,37.0,50.0,,1.320528211284524,1.5606242496998766,-5.522208883553414,37.45498199279712
2026-05-25,2603,觀察股,46.8,55.0,37.0,50.0,,4.672897196261682,4.672897196261682,-11.682242990654206,11.214953271028037
2026-05-25,2609,觀察股,46.0,45.0,45.0,50.0,,5.984555984555988,-0.1930501930501821,-0.9652509652509652,11.196911196911206
2026-05-25,2345,觀察股,45.2,43.0,45.0,50.0,,-1.1811023622047243,-4.724409448818897,-4.133858267716536,-13.188976377952756
2026-05-25,2882,觀察股,44.8,65.0,22.0,50.0,,8.220858895705526,16.56441717791411,39.263803680981596,36.19631901840491
2026-05-25,2303,觀察股,44.0,40.0,45.0,50.0,,16.8,-3.2,36.0,6.0
2026-05-25,6415,觀察股,44.0,40.0,45.0,50.0,,-1.9417475728155338,-15.210355987055015,4.368932038834951,-32.28155339805826
2026-05-25,2353,觀察股,44.0,40.0,45.0,50.0,,19.076923076923087,8.615384615384606,2.7692307692307647,-2.307692307692308
2026-05-25,2454,觀察股,42.0,65.0,15.0,50.0,,7.302709069493522,-4.122497055359246,6.831566548881036,1.6489988221436984
2026-05-25,1590,觀察股,41.2,33.0,45.0,50.0,,-6.896551724137931,-11.724137931034482,-5.172413793103448,-0.3448275862068966
2026-05-25,1303,觀察股,41.2,33.0,45.0,50.0,,23.421354764638355,11.940298507462693,77.38231917336395,169.23076923076925
2026-05-25,2360,觀察股,41.2,33.0,45.0,50.0,,4.878048780487805,-0.40650406504065045,-7.926829268292683,-17.479674796747968
2026-05-25,8046,觀察股,41.2,33.0,45.0,50.0,,2.3755656108597285,-5.995475113122172,2.828054298642534,38.574660633484164
2026-05-25,2886,觀察股,40.8,55.0,22.0,50.0,,4.9367088607595,4.303797468354437,14.43037974683545,22.78481012658228
2026-05-25,2881,觀察股,40.8,55.0,22.0,50.0,,13.101330603889455,18.730808597748204,40.736949846468775,48.413510747185256
2026-05-25,2395,觀察股,40.0,30.0,45.0,50.0,,3.711133400200602,-5.516549648946841,-2.206619859578736,42.62788365095286
2026-05-25,2301,觀察股,40.0,30.0,45.0,50.0,,3.076923076923077,-3.9560439560439558,-1.7582417582417582,32.08791208791209
2026-05-26,3711,觀察股,54.0,55.0,45.0,70.0,,-3.436988543371522,-6.873977086743044,6.873977086743044,-0.16366612111292964
2026-05-26,2002,觀察股,50.8,65.0,37.0,50.0,,-2.820512820512824,-3.8461538461538463,-0.769230769230762,-2.307692307692304
2026-05-26,2317,觀察股,50.0,55.0,45.0,50.0,,16.409266409266408,7.142857142857142,-1.1583011583011582,-1.1583011583011582
2026-05-26,2376,觀察股,50.0,55.0,45.0,50.0,,16.220238095238095,6.845238095238096,0.8928571428571428,6.845238095238096
2026-05-26,2379,觀察股,50.0,55.0,45.0,50.0,,10.677966101694915,10.338983050847457,36.10169491525424,26.101694915254235
2026-05-26,2360,觀察股,49.2,53.0,45.0,50.0,,-3.2,-4.3999999999999995,-13.600000000000001,-18.8
2026-05-26,6415,觀察股,48.8,40.0,45.0,74.0,,-8.253968253968253,-16.19047619047619,-3.968253968253968,-33.57142857142857
2026-05-26,2882,觀察股,48.3,65.0,22.0,67.5,,7.340553549939842,25.15042117930205,32.37063778580025,33.574007220216615
2026-05-26,2330,觀察股,47.2,53.0,30.0,70.0,,4.845814977973569,1.5418502202643172,5.286343612334802,7.488986784140969
2026-05-26,2891,觀察股,46.8,55.0,37.0,50.0,,11.28472222222221,20.13888888888889,21.354166666666675,15.451388888888888
2026-05-26,2603,觀察股,46.8,55.0,37.0,50.0,,9.219858156028367,4.964539007092199,-11.82033096926714,12.529550827423167
