stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
2317,74.0,MA多頭 | MACD↑ | RSI=69,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買4日 | 投信連買4日,50.0,,,🌐 VIX 17.55 低波動,58.4,強力候選,
2615,64.0,MA多頭 | MACD↑ | RSI=61,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,55.8,強力候選,
1326,64.0,MA多頭 | MACD↑ | RSI=62,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,55.2,強力候選,
4938,74.0,MA多頭 | MACD↑ | RSI=61,30.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買3日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,54.8,觀察股,
6669,64.0,MA多頭 | MACD↑ | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,54.6,觀察股,
1590,74.0,MA多頭 | MACD↑ | RSI=51,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,54.5,觀察股,
2884,60.0,MA多頭 | MACD↑ | RSI=69,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,53.8,觀察股,
6505,53.0,MA多頭 | MACD↑ | 突破20日高 | RSI=87 | KD黃金交叉,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,52.6,觀察股,
2002,74.0,MA多頭 | MACD↑ | RSI=60,22.0,持續配息,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,52.4,觀察股,
2376,74.0,MA多頭 | MACD↑ | 突破20日高 | RSI=60,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,52.4,觀察股,
2354,44.0,MACD↑ | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,51.8,觀察股,
2603,50.0,MA多頭 | MACD↑ | RSI=68,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,50.9,觀察股,
1301,68.0,MA多頭 | MACD↑ | RSI=60 | KD黃金交叉,15.0,持續配息,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,50.0,觀察股,
3017,49.0,MACD↑ | RSI=39 | 突破布林中軌,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,48.2,觀察股,
2301,42.0,RSI=48,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買3日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,48.1,觀察股,
2412,39.0,MACD↑ | RSI=41,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,47.6,觀察股,
3036,49.0,MACD↑ | RSI=42 | 突破布林中軌,30.0,持續配息 | 營收動能,67.5,[positive] 本公司受邀參加兆豐證券於115年8月6日舉辦之線上法人說明會,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,47.5,觀察股,
3034,37.0,RSI=38,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,46.4,觀察股,
2609,39.0,MACD↑ | RSI=48,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,45.8,觀察股,
2882,37.0,RSI=62,37.0,持續配息 | 營收動能,57.5,[positive] 代子公司國泰世華商業銀行公告授信資產之轉讓,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,45.1,觀察股,
2308,39.0,MACD↑ | RSI=44,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,44.6,觀察股,
2382,31.0,RSI=36 | KD黃金交叉,37.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買4日,50.0,,,🌐 VIX 17.55 低波動,44.2,觀察股,
3711,37.0,RSI=40,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 17.55 低波動,44.0,觀察股,
2330,37.0,RSI=44,45.0,持續配息 | 營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,43.4,觀察股,
2360,44.0,MACD↑ | RSI=48,30.0,持續配息 | 營收動能,60.0,[positive] 本公司將召開法說會說明2026年第二季營運結果,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,43.4,觀察股,
2357,35.0,MA多頭 | MACD↑ | RSI=76,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,43.2,觀察股,
5880,35.0,MA多頭 | MACD↑ | RSI=82,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,43.0,觀察股,
8046,40.0,MA多頭 | RSI=54,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,42.6,觀察股,
2207,35.0,MA多頭 | MACD↑ | RSI=72,37.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,42.1,觀察股,
1303,40.0,MA多頭 | RSI=50,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,40.5,觀察股,
2345,27.0,RSI=31,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,40.4,觀察股,
3045,27.0,RSI=31,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,40.4,觀察股,
2395,39.0,MA多頭 | MACD↑ | RSI=71,30.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,40.2,觀察股,
2891,37.0,RSI=31,22.0,持續配息,62.0,"[positive] 公告本公司董事會決議通過認購中信證券私募普通股現金增資
不 | [positive] 公告增派子公司中國信託證券投資信託股份有限公司董事",56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,40.0,觀察股,
2379,37.0,RSI=39,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 17.55 低波動,39.4,普通,
2454,27.0,RSI=36,37.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,39.2,普通,
2303,33.0,RSI=37,45.0,持續配息 | 營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,38.9,普通,
2408,37.0,RSI=53,30.0,營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,38.8,普通,
2105,25.0,MA多頭 | RSI=45,37.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,38.6,普通,
2886,60.0,MA多頭 | MACD↑ | RSI=67,0.0,,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,38.5,普通,
2881,42.0,RSI=67,0.0,,50.0,無重大訊息,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,37.6,普通,
2337,27.0,RSI=41,30.0,營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,37.2,普通,
3008,41.0,RSI=46 | KD黃金交叉,15.0,持續配息,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,36.4,普通,
2885,33.0,RSI=43,15.0,營收動能,50.0,無重大訊息,62.0,外資連買3日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,35.9,普通,
2353,27.0,RSI=38,22.0,持續配息,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,35.9,普通,
2883,27.0,MA多頭 | RSI=70,7.0,,50.0,無重大訊息,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 17.55 低波動,34.4,普通,
2474,27.0,RSI=37,15.0,持續配息,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,31.4,普通,
2892,15.0,MA多頭 | RSI=70,22.0,持續配息,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 17.55 低波動,29.4,普通,
6415,2.0,RSI=26,37.0,持續配息 | 營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,25.7,普通,
2327,2.0,RSI=18,30.0,營收動能,50.0,無重大訊息,32.0,外資賣超 | 投信賣超,50.0,,,🌐 VIX 17.55 低波動,23.6,普通,
