stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
5880,58.0,MA多頭 | 突破20日高 | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 15.94 低波動,56.7,強力候選,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
6505,60.0,MA多頭 | MACD↑ | RSI=62,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買4日 | 投信買超,50.0,,,🌐 VIX 15.94 低波動,55.0,強力候選,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
2207,64.0,MA多頭 | MACD↑ | RSI=46,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買5日 | 投信連買3日,50.0,,,🌐 VIX 15.94 低波動,54.9,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
2609,60.0,MA多頭 | MACD↑ | RSI=51,38.0,營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買3日,50.0,,,🌐 VIX 15.94 低波動,54.7,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
2395,60.0,MA多頭 | MACD↑ | RSI=61,30.0,營收動能,60.0,[positive] 公告本公司115年第二季暨上半年法人說明會將於115年8月5,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 15.94 低波動,54.4,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
2354,54.0,MA多頭 | MACD↑ | RSI=47,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 15.94 低波動,54.1,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
6669,64.0,MA多頭 | MACD↑ | RSI=48,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 15.94 低波動,53.4,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
2892,64.0,MA多頭 | MACD↑ | RSI=58,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 15.94 低波動,53.1,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
1326,60.0,MA多頭 | MACD↑ | RSI=57,37.0,持續配息 | 營收動能,70.0,[positive] 公告本公司2026年第二季自結合併損益,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 15.94 低波動,52.0,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
2615,51.0,RSI=50 | KD黃金交叉 | 突破布林中軌,38.0,營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 15.94 低波動,51.0,觀察股,📰 ⚠️負面 致癌油案續燒！泰山公告遭裁罰600萬元 …
