stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
2376,60.0,MA多頭 | MACD↑ | RSI=60 | 突破布林中軌,37.0,持續配息 | 營收動能,50.0,無重大訊息,75.8,外資買超 | 投信買超 | 券資比0.03↓低 | 融資+8.9% | 使用率4%↓,80.0,券資比0.03↓低 | 融資+8.9% | 使用率4%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",59.4,觀察股,348.5,📰 正面 技嘉第二季淨利創新高 H2成長力道更勝H…
2360,50.0,MA多頭 | MACD↑ | RSI=59,37.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買4日 | 投信買超 | 券資比0.03↓低 | 使用率1%↓,70.0,券資比0.03↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",58.2,觀察股,2120.0,📰 正面 2360 致茂- 【08/19 產業即時…
4938,60.0,MA多頭 | MACD↑ | RSI=67,30.0,持續配息 | 營收動能,50.0,無重大訊息,68.8,外資買超 | 投信連買3日 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",55.6,觀察股,89.4,📰 正面 AI 伺服器目標上調＋大手筆籌資！華碩鎖…
2609,35.0,MA多頭 | MACD↑ | 突破20日高 | RSI=89,45.0,持續配息 | 營收動能,50.0,無重大訊息,81.8,外資連買3日 | 投信連買5日 | 券資比0.02↓低 | 融資+8.0% | 使用率4%↓,80.0,券資比0.02↓低 | 融資+8.0% | 使用率4%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",55.6,觀察股,59.0,📰 正面 陽明萬海Q2獲利增，下半年旺季運價有撐 …
3017,35.0,MA多頭 | MACD↑ | RSI=78,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買5日 | 投信買超 | 券資比0.00↓低 | 使用率4%↓,70.0,券資比0.00↓低 | 使用率4%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",55.3,觀察股,3095.0,📰 正面 奇鋐Q2毛利率寫新高/獲利季增21% 上…
2603,35.0,MA多頭 | MACD↑ | RSI=87,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買4日 | 投信買超 | 券資比0.03↓低 | 使用率3%↓,70.0,券資比0.03↓低 | 使用率3%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",55.3,觀察股,240.5,
2615,35.0,MA多頭 | MACD↑ | RSI=92,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.05↓低 | 使用率2%↓,70.0,券資比0.05↓低 | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",52.1,觀察股,106.5,📰 正面 78萬水手注意！財報亮眼萬海閃紅燈逼百元…
2301,35.0,MA多頭 | MACD↑ | RSI=81,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.00↓低 | 使用率2%↓,70.0,券資比0.00↓低 | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",52.1,觀察股,273.5,📰 正面 〈光寶科法說〉Q2毛利率達27% 上半年…
3711,45.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,59.8,外資連買4日 | 投信賣超 | 券資比0.02↓低 | 融資-11.6%↓ | 使用率1%↓,55.0,券資比0.02↓低 | 融資-11.6%↓ | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",50.9,觀察股,588.0,📰 正面 日月光投控法說／Q2 EPS衝上4.80…
2395,35.0,MA多頭 | MACD↑ | RSI=82 | KD黃金交叉,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.03↓低 | 融資-12.4%↓ | 使用率1%↓,55.0,券資比0.03↓低 | 融資-12.4%↓ | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",50.0,觀察股,694.0,📰 正面 研華(2395) Q2營收、獲利同步創下…
6415,45.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.02↓低 | 使用率5%↓,70.0,券資比0.02↓低 | 使用率5%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",49.9,觀察股,440.0,
2330,45.0,MA多頭 | MACD↑ | RSI=62,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.00↓低 | 使用率0%↓,70.0,券資比0.00↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",49.9,觀察股,2350.0,📰 正面 2330 台積電 - 台積電，漢唐，再殺…
1301,55.0,MA多頭 | MACD↑ | RSI=60,29.0,持續配息,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.02↓低 | 使用率1%↓,70.0,券資比0.02↓低 | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",49.7,觀察股,56.8,
2382,25.0,MA多頭 | MACD↑ | RSI=83,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.00↓低 | 使用率2%↓,70.0,券資比0.00↓低 | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",49.3,觀察股,331.0,📰 正面 廣達財報／第2季獲利創新高 上半年賺超過…
2308,50.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.8,外資買超 | 投信賣超 | 券資比0.01↓低 | 融資-11.5%↓ | 使用率1%↓,55.0,券資比0.01↓低 | 融資-11.5%↓ | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",49.3,觀察股,1765.0,📰 正面 台達電法說／第二季EPS衝上9.68元創…
2408,35.0,MA多頭 | MACD↑ | RSI=77,30.0,營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.04↓低 | 使用率11%↓,70.0,券資比0.04↓低 | 使用率11%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",49.1,觀察股,481.0,📰 正面 南亞科獲納MSCI再添柴火 股價衝530…
2454,50.0,MA多頭 | MACD↑ | RSI=68,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",48.4,觀察股,3845.0,
2891,50.0,MA多頭 | MACD↑ | RSI=59,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.02↓低 | 使用率0%↓,70.0,券資比0.02↓低 | 使用率0%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",48.4,觀察股,64.9,📰 正面 中信金(2891)淨值突破7000億！獲…
2105,40.0,MACD↑ | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資賣超 | 投信連買5日 | 券資比0.00↓低 | 融資+9.1% | 使用率1%↓,80.0,券資比0.00↓低 | 融資+9.1% | 使用率1%↓,,"🐻 大盤跌破季線
🌐 外資期貨-81,501口 🔴 偏空｜VIX 15.83 低波動｜Fed 3.71%短率升",48.1,觀察股,31.05,📰 正面 【12:04 即時新聞】正新(2105)…
