stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
2207,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=68,45.0,持續配息 | 營收動能,50.0,無重大訊息,54.0,觀察股
2892,65.0,MA多頭 | MACD↑ | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,54.0,觀察股
2884,55.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,60.0,[positive] 玉山金控受邀參加Citi舉辦Taiwan Tech Conf,52.0,觀察股
1301,55.0,MA多頭 | MACD↑ | RSI=61,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
1303,55.0,MA多頭 | MACD↑ | RSI=68,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2317,55.0,MA多頭 | MACD↑ | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2360,55.0,MA多頭 | MACD↑ | RSI=65,30.0,持續配息 | 營收動能,67.5,[positive] 本公司受邀參加美銀證券及CLSA舉辦之法人說明會,47.5,觀察股
2002,55.0,MA多頭 | MACD↑ | RSI=63,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
2330,55.0,MA多頭 | MACD↑ | RSI=64,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
3008,55.0,MA多頭 | MACD↑ | RSI=59,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
6505,55.0,MA多頭 | MACD↑ | RSI=66,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
3017,55.0,MA多頭 | MACD↑ | RSI=57,30.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2408,55.0,MA多頭 | MACD↑ | RSI=60,30.0,營收動能,50.0,無重大訊息,44.0,觀察股
3045,55.0,MA多頭 | MACD↑ | RSI=57,22.0,持續配息,57.5,"[positive] 公告本公司現金股利及資本公積現金返還配發基準日
相關事宜",42.3,觀察股
2301,35.0,MA多頭 | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,42.0,觀察股
3711,35.0,MA多頭 | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,42.0,觀察股
2303,35.0,MA多頭 | RSI=63,45.0,持續配息 | 營收動能,50.0,無重大訊息,42.0,觀察股
