stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
3017,74.0,MA多頭 | MACD↑ | RSI=69,37.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買4日 | 投信連買5日,50.0,,,🌐 VIX 16.77 低波動,60.5,強力候選,
2395,62.0,MA多頭 | RSI=65,30.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買4日 | 投信買超,50.0,,,🌐 VIX 16.77 低波動,53.6,觀察股,
6505,73.0,MA多頭 | MACD↑ | RSI=66 | KD黃金交叉 | 突破布林中軌,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.77 低波動,53.2,觀察股,
2345,49.0,MA多頭 | MACD↑ | 突破20日高 | RSI=70,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買3日,50.0,,,🌐 VIX 16.77 低波動,53.0,觀察股,
1303,45.0,MA多頭 | MACD↑ | 突破20日高 | RSI=92,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買3日 | 投信連買5日,50.0,,,🌐 VIX 16.77 低波動,52.8,觀察股,
2330,64.0,MA多頭 | MACD↑ | RSI=66,37.0,持續配息 | 營收動能,50.0,無重大訊息,47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 16.77 低波動,50.4,觀察股,
3711,45.0,MA多頭 | MACD↑ | 突破20日高 | RSI=83,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買3日 | 投信賣超,50.0,,,🌐 VIX 16.77 低波動,49.2,觀察股,
5880,40.0,MA多頭 | RSI=62,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.77 低波動,49.2,觀察股,
2301,42.0,RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買4日 | 投信賣超,50.0,,,🌐 VIX 16.77 低波動,48.1,觀察股,
6669,54.0,MACD↑ | RSI=57,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買3日,50.0,,,🌐 VIX 16.77 低波動,47.5,觀察股,
2892,60.0,MA多頭 | MACD↑ | RSI=62,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.77 低波動,47.5,觀察股,
2379,60.0,MA多頭 | MACD↑ | RSI=63,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.77 低波動,47.5,觀察股,
2886,60.0,MA多頭 | MACD↑ | RSI=69,15.0,營收動能,62.0,"[positive] 代本公司之子公司兆豐國際證券投資信託股份有限公司公告
張傳 | [positive] 代本公司之子公司兆豐國際證券投資信託股份有限公司公告
陳文",50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.77 低波動,44.8,觀察股,
6415,48.0,MA多頭 | RSI=67,30.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.77 低波動,44.5,觀察股,
