stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,news_signal
2609,60.0,MA多頭 | MACD↑ | RSI=51,45.0,持續配息 | 營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買3日,50.0,,,🌐 VIX 16.86 低波動,56.8,強力候選,📰 正面 友達6月營收249億元 月增4.7%！外…
5880,58.0,MA多頭 | 突破20日高 | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買5日 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,56.7,強力候選,📰 正面 友達6月營收249億元 月增4.7%！外…
2395,60.0,MA多頭 | MACD↑ | RSI=61,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買3日 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,55.0,強力候選,📰 正面 友達6月營收249億元 月增4.7%！外…
6505,60.0,MA多頭 | MACD↑ | RSI=62,37.0,持續配息 | 營收動能,50.0,無重大訊息,77.0,外資連買4日 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,55.0,強力候選,📰 正面 友達6月營收249億元 月增4.7%！外…
2207,64.0,MA多頭 | MACD↑ | RSI=46,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買5日 | 投信連買3日,50.0,,,🌐 VIX 16.86 低波動,54.9,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2354,54.0,MA多頭 | MACD↑ | RSI=47,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,54.1,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
6669,64.0,MA多頭 | MACD↑ | RSI=48,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,53.4,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2892,64.0,MA多頭 | MACD↑ | RSI=58,30.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,53.1,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2615,51.0,RSI=50 | KD黃金交叉 | 突破布林中軌,38.0,營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,51.0,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
1326,60.0,MA多頭 | MACD↑ | RSI=57,37.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買4日,50.0,,,🌐 VIX 16.86 低波動,49.6,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2603,39.0,MACD↑ | RSI=52,45.0,持續配息 | 營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,48.8,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2105,39.0,MA多頭 | MACD↑ | RSI=73,37.0,持續配息 | 營收動能,50.0,無重大訊息,80.0,外資連買5日 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,48.2,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
3711,53.0,MA多頭 | RSI=59 | 突破布林中軌,38.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,47.4,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
3034,44.0,MA多頭 | RSI=56,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,46.4,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2885,44.0,MA多頭 | RSI=51,30.0,營收動能,50.0,無重大訊息,71.0,外資買超 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,46.1,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2884,42.0,RSI=45,37.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 16.86 低波動,45.7,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2408,51.0,RSI=46 | KD黃金交叉 | 突破布林中軌,30.0,營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.86 低波動,45.6,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
1303,60.0,MA多頭 | MACD↑ | RSI=68,23.0,營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,45.4,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2883,62.0,MA多頭 | RSI=45,15.0,營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.86 低波動,44.9,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2379,52.0,MA多頭 | RSI=52,30.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,44.7,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2301,35.0,MA多頭 | RSI=52,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.86 低波動,44.4,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2345,35.0,MA多頭 | RSI=51,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,外資賣超 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,43.2,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2330,40.0,MA多頭 | RSI=50,37.0,持續配息 | 營收動能,57.5,"[positive] 本公司代子公司 Emerging Fund, L.P.公告處",47.0,外資賣超 | 投信買超,50.0,,,🌐 VIX 16.86 低波動,43.1,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2303,35.0,MA多頭 | RSI=56,38.0,營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.86 低波動,42.4,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2886,44.0,MA多頭 | RSI=59,15.0,營收動能,50.0,無重大訊息,74.0,外資買超 | 投信連買5日,50.0,,,🌐 VIX 16.86 低波動,42.2,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
2353,37.0,RSI=39,30.0,持續配息 | 營收動能,50.0,無重大訊息,62.0,外資連買5日 | 投信賣超,50.0,,,🌐 VIX 16.86 低波動,41.8,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
4938,27.0,RSI=50,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.0,外資買超 | 投信賣超,50.0,,,🌐 VIX 16.86 低波動,41.6,觀察股,📰 正面 友達6月營收249億元 月增4.7%！外…
