stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,final_score,tier
3711,75.0,MA多頭 | MACD↑ | 突破20日高 | RSI=66,45.0,持續配息 | 營收動能,50.0,無重大訊息,58.0,強力候選
2379,55.0,MA多頭 | MACD↑ | RSI=61,45.0,持續配息 | 營收動能,50.0,無重大訊息,50.0,觀察股
2317,53.0,MA多頭 | 突破20日高 | RSI=67,45.0,持續配息 | 營收動能,50.0,無重大訊息,49.2,觀察股
2891,55.0,MA多頭 | MACD↑ | RSI=67,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
2615,55.0,MA多頭 | MACD↑ | RSI=65,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
2603,55.0,MA多頭 | MACD↑ | RSI=55,37.0,持續配息 | 營收動能,50.0,無重大訊息,46.8,觀察股
2609,45.0,MA多頭 | MACD↑ | RSI=58,45.0,持續配息 | 營收動能,50.0,無重大訊息,46.0,觀察股
2345,43.0,MA多頭 | RSI=52,45.0,持續配息 | 營收動能,50.0,無重大訊息,45.2,觀察股
2882,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=64,22.0,營收動能,50.0,無重大訊息,44.8,觀察股
2303,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=77,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
6415,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=75,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2353,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=77,45.0,持續配息 | 營收動能,50.0,無重大訊息,44.0,觀察股
2454,65.0,MA多頭 | MACD↑ | 突破20日高 | RSI=69,15.0,持續配息,50.0,無重大訊息,42.0,觀察股
1590,33.0,RSI=52,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
1303,33.0,RSI=37,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2360,33.0,RSI=59,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
8046,33.0,RSI=39,45.0,持續配息 | 營收動能,50.0,無重大訊息,41.2,觀察股
2886,55.0,MA多頭 | MACD↑ | RSI=54,22.0,營收動能,50.0,無重大訊息,40.8,觀察股
2881,55.0,MA多頭 | MACD↑ | RSI=65,22.0,營收動能,50.0,無重大訊息,40.8,觀察股
2395,30.0,MA多頭 | MACD↑ | RSI=78,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
2301,30.0,MA多頭 | MACD↑ | RSI=73,45.0,持續配息 | 營收動能,50.0,無重大訊息,40.0,觀察股
6669,43.0,MA多頭 | RSI=65,30.0,持續配息 | 營收動能,50.0,無重大訊息,39.2,普通
2337,33.0,RSI=46,38.0,營收動能,50.0,無重大訊息,38.4,普通
2327,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=95,30.0,營收動能,50.0,無重大訊息,38.0,普通
3008,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=82,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2357,40.0,MA多頭 | MACD↑ | 突破20日高 | RSI=73,30.0,持續配息 | 營收動能,50.0,無重大訊息,38.0,普通
2207,23.0,RSI=37,45.0,持續配息 | 營收動能,50.0,無重大訊息,37.2,普通
5880,23.0,RSI=38,45.0,持續配息 | 營收動能,50.0,無重大訊息,37.2,普通
2002,30.0,MACD↑ | 突破20日高 | RSI=72,37.0,持續配息 | 營收動能,50.0,無重大訊息,36.8,普通
2354,43.0,MA多頭 | RSI=57,22.0,持續配息,50.0,無重大訊息,36.0,普通
2885,43.0,MA多頭 | RSI=54,22.0,營收動能,50.0,無重大訊息,36.0,普通
2408,35.0,MA多頭 | RSI=59,30.0,營收動能,50.0,無重大訊息,36.0,普通
2330,33.0,RSI=57,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2308,33.0,RSI=57,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
4938,33.0,RSI=49,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
2376,18.0,MA多頭 | RSI=71,45.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
3017,33.0,RSI=44,30.0,持續配息 | 營收動能,50.0,無重大訊息,35.2,普通
3036,30.0,MA多頭 | MACD↑ | RSI=83,30.0,營收動能,50.0,無重大訊息,34.0,普通
2884,15.0,RSI=41,45.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
2892,15.0,RSI=40,45.0,持續配息 | 營收動能,50.0,無重大訊息,34.0,普通
2412,35.0,MA多頭 | RSI=51,22.0,持續配息,50.0,無重大訊息,32.8,普通
2105,35.0,MA多頭 | RSI=60,22.0,持續配息,50.0,無重大訊息,32.8,普通
3045,35.0,MA多頭 | RSI=54,22.0,持續配息,50.0,無重大訊息,32.8,普通
2382,33.0,RSI=48,23.0,營收動能,50.0,無重大訊息,32.4,普通
2883,33.0,RSI=48,22.0,營收動能,50.0,無重大訊息,32.0,普通
3034,10.0,MA多頭 | RSI=71,37.0,持續配息 | 營收動能,50.0,無重大訊息,28.8,普通
1301,0.0,RSI=14,45.0,持續配息 | 營收動能,50.0,無重大訊息,28.0,普通
6505,0.0,RSI=20,30.0,持續配息 | 營收動能,50.0,無重大訊息,22.0,普通
1326,0.0,RSI=22,30.0,持續配息 | 營收動能,50.0,無重大訊息,22.0,普通
2474,0.0,RSI=18,15.0,持續配息,50.0,無重大訊息,16.0,普通
