stock_id,tech_score,tech_signals,fund_score,fund_signals,event_score,events,chip_score,chip_signals,margin_score,margin_signals,insider_signal,macro_context,final_score,tier,close,news_signal
3017,64.0,MA多頭 | MACD↑ | 突破20日高 | RSI=67,45.0,持續配息 | 營收動能,58.0,[positive] 本公司受邀參加富邦證券法人說明會,77.8,外資連買3日 | 投信連買5日 | 券資比0.02↓低 | 使用率4%↓,70.0,券資比0.02↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",64.1,強力候選,2730.0,📰 正面 奇鋐(3017)亮燈漲停站上高檔，獲利撐…
2615,60.0,MA多頭 | MACD↑ | RSI=63,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買5日 | 投信買超 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",62.8,強力候選,85.4,📰 正面 萬海首季獲利年減12% 每股盈餘2.73…
2357,60.0,MA多頭 | MACD↑ | 突破20日高 | RSI=69,37.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買4日 | 投信買超 | 券資比0.03↓低 | 使用率1%↓,70.0,券資比0.03↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",61.2,強力候選,838.0,📰 正面 華碩 AI伺服器亮眼 - 中時新聞網…
2317,64.0,MA多頭 | MACD↑ | RSI=58,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買4日 | 投信買超 | 券資比0.01↓低 | 使用率1%↓,70.0,券資比0.01↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",61.0,觀察股,258.5,
2891,74.0,MA多頭 | MACD↑ | RSI=64,22.0,持續配息,50.0,無重大訊息,74.8,外資連買5日 | 投信買超 | 券資比0.01↓低 | 融資-11.0%↓ | 使用率0%↓,55.0,券資比0.01↓低 | 融資-11.0%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",60.3,強力候選,66.0,📰 正面 中信金（2891）狂飆70.5元歷史天價…
4938,64.0,MA多頭 | MACD↑ | RSI=61,30.0,持續配息 | 營收動能,50.0,無重大訊息,77.8,外資連買4日 | 投信連買5日 | 券資比0.00↓低 | 使用率1%↓,70.0,券資比0.00↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",59.9,觀察股,89.5,📰 正面 和碩首季獲利遜預期...股價重摔5% 分…
2301,64.0,MA多頭 | MACD↑ | RSI=60,45.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.06↓低 | 融資-14.3%↓ | 使用率2%↓,55.0,券資比0.06↓低 | 融資-14.3%↓ | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",58.7,強力候選,249.0,📰 正面 光寶科連拉3根漲停該賣嗎？達人揭獲利了結…
2207,60.0,MA多頭 | MACD↑ | RSI=56,37.0,持續配息 | 營收動能,50.0,無重大訊息,71.8,外資買超 | 投信買超 | 券資比0.00↓低 | 使用率0%↓,70.0,券資比0.00↓低 | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",58.0,強力候選,509.0,📰 正面 營收速報》併購效應 和泰車營收創新高 -…
2408,54.0,MACD↑ | RSI=51,30.0,營收動能,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.05↓低 | 使用率12%↓,70.0,券資比0.05↓低 | 使用率12%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",58.0,強力候選,445.0,📰 正面 反指標女神「買進南亞科、國巨」賺錢就買全…
2882,64.0,MA多頭 | MACD↑ | RSI=57,37.0,持續配息 | 營收動能,50.0,無重大訊息,65.8,外資買超 | 投信買超 | 券資比0.08↓低 | 融資-13.3%↓ | 使用率0%↓,55.0,券資比0.08↓低 | 融資-13.3%↓ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",57.1,強力候選,100.5,📰 正面 金融股可以買嗎？國泰金、富邦金、凱基金……
1590,64.0,MA多頭 | MACD↑ | 突破20日高 | RSI=63,45.0,持續配息 | 營收動能,55.0,[positive] 公告本公司2026年7月份自結合併營收,59.0,外資賣超 | 投信買超 | 券資比0.00↓低 | 融資+12.6% | 使用率0%↓,80.0,券資比0.00↓低 | 融資+12.6% | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",57.1,強力候選,1510.0,📰 正面 亞德客7月營收創同期新高 氣動需求看好至…
2354,39.0,MACD↑ | RSI=47,45.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買5日 | 投信買超 | 券資比0.00↓低 | 使用率7%↓,70.0,券資比0.00↓低 | 使用率7%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",56.5,強力候選,55.5,📰 ⚠️負面 年減61%！鴻準3月營收46.89億元創…
2454,74.0,MA多頭 | MACD↑ | RSI=56,37.0,持續配息 | 營收動能,50.0,無重大訊息,55.0,外資賣超 | 投信買超 | 券資比0.00↓低 | 使用率2%↓,70.0,券資比0.00↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",56.4,強力候選,4000.0,📰 正面 外資看好聯發科獲利「爆炸式跳升」 股價強…
5880,60.0,MA多頭 | MACD↑ | RSI=64,30.0,持續配息 | 營收動能,50.0,無重大訊息,69.8,外資買超 | 投信買超 | 券資比0.00↓低 | 融資暴增+40.6%⚠️ | 使用率0%↓,65.0,券資比0.00↓低 | 融資暴增+40.6%⚠️ | 使用率0%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",55.9,強力候選,26.6,📰 正面 〈合庫金股東會〉總資產破5.38兆！EP…
6669,64.0,MA多頭 | MACD↑ | RSI=64,45.0,持續配息 | 營收動能,50.0,無重大訊息,55.0,外資賣超 | 投信買超 | 券資比0.02↓低 | 使用率3%↓,70.0,券資比0.02↓低 | 使用率3%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",55.0,觀察股,6175.0,📰 正面 CSP擴大AI投資！法人看緯穎「液冷滲透…
2002,60.0,MA多頭 | MACD↑ | RSI=54,22.0,持續配息,50.0,無重大訊息,68.8,外資買超 | 投信連買5日 | 券資比0.02↓低 | 使用率1%↓,70.0,券資比0.02↓低 | 使用率1%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",54.0,觀察股,18.9,
2376,38.0,RSI=52 | KD黃金交叉 | 突破布林中軌,30.0,持續配息 | 營收動能,50.0,無重大訊息,80.8,外資連買3日 | 投信買超 | 券資比0.01↓低 | 使用率4%↓,70.0,券資比0.01↓低 | 使用率4%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",53.2,觀察股,342.0,📰 正面 技嘉小金雞技宸7/27登興櫃 訂單能見度…
2603,54.0,MA多頭 | MACD↑ | RSI=57,45.0,持續配息 | 營收動能,50.0,無重大訊息,56.8,外資買超 | 投信賣超 | 券資比0.02↓低 | 使用率3%↓,70.0,券資比0.02↓低 | 使用率3%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",52.6,觀察股,205.0,
3034,39.0,MA多頭 | MACD↑ | RSI=71,45.0,持續配息 | 營收動能,58.0,[positive] 本公司於115/08/06召開法人說明會,65.8,外資連買5日 | 投信賣超 | 券資比0.01↓低 | 使用率2%↓,70.0,券資比0.01↓低 | 使用率2%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",52.4,觀察股,550.0,📰 正面 聯詠Q2獲利亮眼創近11季新高！ 但客戶…
3008,74.0,MA多頭 | MACD↑ | 突破20日高 | RSI=56,15.0,持續配息,50.0,無重大訊息,56.0,外資賣超 | 投信連買5日 | 券資比0.01↓低 | 融資+7.9% | 使用率6%↓,80.0,券資比0.01↓低 | 融資+7.9% | 使用率6%↓,,"📈 大盤季線上（多方）
🌐 外資期貨-87,199口 🔴 偏空｜VIX 16.2 低波動｜Fed 3.73%短率升",52.3,觀察股,4575.0,
